tenure_months,monthly_charges,total_tickets,contract_type,payment_method,churn
52,119.41,2,month-to-month,electronic_check,1
15,21.11,2,month-to-month,electronic_check,1
61,93.02,0,one-year,electronic_check,1
21,77.18,0,two-year,credit_card,0
24,63.41,1,month-to-month,bank_transfer,1
3,32.76,2,one-year,credit_card,1
22,60.91,2,month-to-month,electronic_check,1
53,55.44,0,two-year,bank_transfer,0
2,50.28,0,one-year,bank_transfer,1
30,93.09,1,one-year,electronic_check,1
38,90.07,0,month-to-month,bank_transfer,1
2,78.9,0,month-to-month,bank_transfer,1
64,113.87,1,one-year,credit_card,0
60,54.99,1,month-to-month,electronic_check,1
21,44.38,1,month-to-month,credit_card,0
33,85.59,3,month-to-month,credit_card,0
58,39.88,0,month-to-month,credit_card,0
22,51.5,2,one-year,credit_card,1
49,42.46,4,month-to-month,electronic_check,0
59,26.92,0,month-to-month,bank_transfer,0
42,102.75,0,month-to-month,credit_card,0
60,45.45,1,two-year,bank_transfer,0
15,67.3,1,two-year,electronic_check,1
62,24.33,2,month-to-month,credit_card,0
62,89.93,1,one-year,bank_transfer,0
47,53.06,1,month-to-month,credit_card,1
62,94.47,1,month-to-month,bank_transfer,0
51,61.24,3,one-year,credit_card,0
55,39.58,2,month-to-month,credit_card,0
64,71.32,3,month-to-month,bank_transfer,0
3,33.05,1,one-year,electronic_check,1
51,64.05,0,two-year,electronic_check,0
7,51.73,3,two-year,bank_transfer,1
21,111.2,0,one-year,credit_card,1
39,26.09,0,month-to-month,bank_transfer,0
18,89.4,2,month-to-month,electronic_check,1
4,38.28,0,two-year,electronic_check,0
60,51.9,1,month-to-month,bank_transfer,0
14,61.55,2,one-year,bank_transfer,1
9,110.8,2,month-to-month,credit_card,1
53,44.26,2,month-to-month,bank_transfer,1
2,29.13,1,month-to-month,electronic_check,1
60,51.87,4,two-year,bank_transfer,1
71,30.47,2,month-to-month,credit_card,0
44,32.86,2,one-year,bank_transfer,0
8,77.39,2,two-year,electronic_check,1
47,26.09,0,two-year,electronic_check,0
35,23.09,2,month-to-month,credit_card,0
36,91.44,0,month-to-month,electronic_check,1
50,56.16,1,two-year,electronic_check,1
4,32.54,2,month-to-month,electronic_check,1
2,45.36,0,month-to-month,credit_card,1
6,84.21,0,month-to-month,electronic_check,1
54,47.55,1,month-to-month,credit_card,0
4,69.45,2,month-to-month,bank_transfer,1
54,32.17,2,one-year,bank_transfer,0
63,78.81,2,one-year,credit_card,0
18,51.61,1,month-to-month,bank_transfer,1
44,82.7,0,two-year,bank_transfer,1
34,100.84,0,month-to-month,electronic_check,1
62,81.16,3,month-to-month,bank_transfer,1
14,49.57,1,two-year,credit_card,0
48,45.57,1,month-to-month,credit_card,0
15,52.74,1,one-year,credit_card,1
62,36.46,2,one-year,credit_card,0
40,38.12,4,one-year,credit_card,0
53,99.07,0,month-to-month,credit_card,1
24,58.47,2,month-to-month,bank_transfer,1
26,63.6,2,month-to-month,bank_transfer,1
60,79.4,2,month-to-month,credit_card,1
41,78.97,2,month-to-month,bank_transfer,1
29,26.74,2,two-year,credit_card,0
15,103.15,2,month-to-month,electronic_check,1
45,37.73,4,two-year,electronic_check,1
65,92.31,1,month-to-month,electronic_check,1
71,97.27,1,one-year,electronic_check,0
9,91.49,3,two-year,credit_card,1
1,77.9,3,two-year,electronic_check,0
8,21.46,3,month-to-month,bank_transfer,1
63,56.04,3,two-year,electronic_check,0
11,80.48,2,month-to-month,electronic_check,1
8,58.75,0,month-to-month,electronic_check,1
35,106.35,0,one-year,credit_card,1
35,50.88,2,two-year,credit_card,0
33,49.35,2,two-year,bank_transfer,0
5,46.6,2,month-to-month,credit_card,1
41,53.28,0,one-year,credit_card,0
28,75.74,2,two-year,bank_transfer,0
7,90.7,2,month-to-month,electronic_check,1
12,86.26,1,one-year,electronic_check,1
34,100.77,2,month-to-month,electronic_check,1
33,108.59,1,month-to-month,electronic_check,1
48,101.61,1,one-year,electronic_check,1
23,21.89,1,month-to-month,electronic_check,0
62,93.59,1,month-to-month,credit_card,1
37,40.84,2,month-to-month,credit_card,1
44,33.29,1,one-year,electronic_check,0
35,83.85,0,month-to-month,credit_card,0
65,51.97,3,month-to-month,credit_card,0
47,25.71,4,one-year,electronic_check,0
3,33.76,0,month-to-month,bank_transfer,0
1,20.09,2,two-year,electronic_check,0
5,110.32,1,month-to-month,electronic_check,1
14,22.46,1,month-to-month,bank_transfer,1
27,40.95,2,month-to-month,bank_transfer,0
9,61.63,2,month-to-month,electronic_check,1
15,55.66,0,two-year,bank_transfer,1
42,111.17,1,month-to-month,credit_card,1
51,24.03,1,one-year,credit_card,0
63,71.22,1,month-to-month,credit_card,0
52,88.05,2,one-year,credit_card,0
4,113.17,2,two-year,credit_card,1
23,82.04,2,month-to-month,electronic_check,1
15,100.38,1,one-year,credit_card,1
43,28.37,3,two-year,credit_card,1
29,58.59,4,one-year,electronic_check,1
36,57.39,2,month-to-month,bank_transfer,1
13,108.63,2,month-to-month,bank_transfer,1
32,35.14,0,month-to-month,electronic_check,0
71,35.19,2,two-year,electronic_check,0
59,52.86,3,one-year,electronic_check,1
28,25.45,1,two-year,credit_card,0
66,38.25,1,month-to-month,electronic_check,0
42,116.52,2,month-to-month,electronic_check,1
45,62.82,0,month-to-month,electronic_check,0
62,83.2,2,month-to-month,credit_card,1
57,92.61,1,month-to-month,credit_card,0
6,56.7,1,month-to-month,bank_transfer,1
28,34.72,1,two-year,electronic_check,0
28,40.66,1,month-to-month,bank_transfer,0
44,51.33,0,month-to-month,credit_card,0
30,83.61,2,two-year,credit_card,1
62,59.83,0,two-year,credit_card,0
62,20.68,0,month-to-month,electronic_check,0
1,72.34,2,two-year,electronic_check,1
27,112.15,4,month-to-month,electronic_check,1
62,101.21,0,month-to-month,credit_card,1
3,102.52,1,two-year,bank_transfer,1
70,99.51,2,one-year,credit_card,0
27,52.37,1,two-year,credit_card,1
9,96.52,1,two-year,credit_card,1
62,34.32,0,month-to-month,electronic_check,0
37,85.77,1,one-year,electronic_check,1
51,84.16,0,month-to-month,credit_card,1
44,22.56,0,month-to-month,credit_card,0
24,98.8,2,month-to-month,bank_transfer,1
59,110.32,0,month-to-month,credit_card,1
32,46.74,1,two-year,electronic_check,1
52,101.24,3,two-year,electronic_check,0
62,28.24,4,one-year,bank_transfer,0
58,80.0,1,month-to-month,credit_card,1
52,68.56,1,one-year,bank_transfer,0
12,74.59,2,one-year,bank_transfer,1
39,112.62,0,two-year,electronic_check,1
2,107.13,2,month-to-month,electronic_check,1
3,98.51,4,month-to-month,credit_card,1
56,47.37,2,two-year,electronic_check,1
59,111.18,1,two-year,credit_card,1
2,29.75,0,month-to-month,credit_card,1
2,105.33,6,month-to-month,credit_card,1
54,52.82,1,two-year,credit_card,0
1,25.38,1,one-year,bank_transfer,1
19,86.94,4,one-year,bank_transfer,1
2,43.13,1,month-to-month,electronic_check,1
53,44.36,1,month-to-month,electronic_check,0
44,50.6,0,month-to-month,bank_transfer,0
32,26.37,2,one-year,electronic_check,0
70,37.71,1,month-to-month,credit_card,0
32,20.51,3,month-to-month,credit_card,0
68,64.54,3,month-to-month,electronic_check,1
55,28.43,2,month-to-month,electronic_check,1
56,88.27,0,month-to-month,electronic_check,1
17,43.56,1,month-to-month,bank_transfer,1
38,114.36,0,two-year,credit_card,1
24,107.13,6,month-to-month,bank_transfer,1
69,48.94,3,month-to-month,electronic_check,0
70,98.32,2,month-to-month,electronic_check,1
11,100.32,4,two-year,electronic_check,1
16,118.66,0,month-to-month,bank_transfer,1
59,79.78,0,month-to-month,electronic_check,0
70,28.2,2,month-to-month,electronic_check,0
3,84.68,2,one-year,electronic_check,1
20,82.5,2,one-year,bank_transfer,1
59,83.84,0,month-to-month,bank_transfer,0
36,50.71,2,month-to-month,credit_card,1
19,105.97,3,month-to-month,bank_transfer,1
67,115.95,1,one-year,bank_transfer,0
19,41.77,5,one-year,electronic_check,1
20,28.82,0,month-to-month,electronic_check,0
71,39.45,2,one-year,bank_transfer,1
52,102.06,0,month-to-month,electronic_check,1
33,87.66,1,one-year,electronic_check,1
40,83.6,0,one-year,electronic_check,1
39,60.18,1,two-year,electronic_check,0
1,77.78,4,month-to-month,electronic_check,1
11,50.79,2,month-to-month,credit_card,1
57,67.72,2,month-to-month,electronic_check,1
50,99.31,5,month-to-month,electronic_check,1
23,118.12,2,month-to-month,electronic_check,1
31,113.25,0,month-to-month,bank_transfer,1
42,113.39,1,month-to-month,credit_card,1
7,60.22,5,two-year,electronic_check,1
16,66.88,1,one-year,credit_card,0
60,90.56,1,month-to-month,electronic_check,1
